         ,Gross claims incurred 2016 (£m) ,Gross claims incurred 2017 (£m) ,Gross claims incurred 2018 (£m) ,Gross claims incurred 2019 (£m) ,Gross claims incurred 2020 (£m) ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2016 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2017 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2018 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2019 (£m)" ,"Gross BEL (inc. TPs as whole, pre-TMTP) 2020 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2016 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2017 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2018 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2019 (£m)" ,"Net BEL (inc. TPs as a whole, pre-TMTP) 2020 (£m)" ,Pure net claims ratio 2016 ,Pure net claims ratio 2017 ,Pure net claims ratio 2018 ,Pure net claims ratio 2019 ,Pure net claims ratio 2020 ,Net expense ratio 2016 ,Net expense ratio 2017 ,Net expense ratio 2018 ,Net expense ratio 2019 ,Net expense ratio 2020 ,Net combined ratio 2016 ,Net combined ratio 2017 ,Net combined ratio 2018 ,Net combined ratio 2019 ,Net combined ratio 2020 ,Pure gross claims ratio 2016 ,Pure gross claims ratio 2017 ,Pure gross claims ratio 2018 ,Pure gross claims ratio 2019 ,Pure gross claims ratio 2020 ,Gross expense ratio 2016 ,Gross expense ratio 2017 ,Gross expense ratio 2018 ,Gross expense ratio 2019 ,Gross expense ratio 2020 ,Gross combined ratio 2016 ,Gross combined ratio 2017 ,Gross combined ratio 2018 ,Gross combined ratio 2019 ,Gross combined ratio 2020
Firm 77  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 78  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 79  ,72.31403841                     ,70.04921708                     ,51.53705867                     ,31.93977305                     ,37.38314235                     ,131.0963284                                         ,42.63990005                                         ,43.81051608                                         ,34.85283722                                         ,39.10609273                                         ,129.2062037                                         ,40.75965269                                         ,41.65892306                                         ,32.80147779                                         ,34.58188838                                         ,0.2661110233               ,0.3121624278               ,0.2810311891               ,0.215873511                ,0.2966731051               ,0.3780230439           ,0.415245228            ,0.3608317014           ,0.3671517807           ,0.3488439959           ,0.6441340672            ,0.7274076558            ,0.6418628905            ,0.5830252917            ,0.645517101             ,0.2586632086                 ,0.3030582178                 ,0.2737687084                 ,0.2134467492                 ,0.3087099435                 ,0.3674387911             ,0.4029290924             ,0.3494371662             ,0.3558500284             ,0.3381738128             ,0.6261019997              ,0.7059873103              ,0.6232058747              ,0.5692967775              ,0.6468837563
Firm 80  ,29.35808647                     ,35.071841                       ,54.60188887                     ,66.34636281                     ,60.83284413                     ,8.328339632                                         ,8.439135029                                         ,0.3400386435                                        ,1.927577538                                         ,7.152003876                                         ,8.328339632                                         ,8.439135029                                         ,0.3400386435                                        ,1.927577538                                         ,7.152003876                                         ,0.8597330398               ,0.8509624846               ,0.9216389682               ,0.8655010277               ,0.8187564646               ,0.08115435677          ,0.08326436703          ,0.0818659249           ,0.09212088323          ,0.1102371101           ,0.9408873965            ,0.9342268516            ,1.003504893             ,0.9576219109            ,0.9289935747            ,0.8526704736                 ,0.8443801446                 ,0.9018495563                 ,0.8675561408                 ,0.8221846669                 ,0.08048768701            ,0.08262030294            ,0.04653181751            ,0.05066530119            ,0.06083973641            ,0.9331581606              ,0.9270004475              ,0.9483813738              ,0.918221442               ,0.8830244033
Firm 81  ,1248.204928                     ,857.2070873                     ,648.6565665                     ,702.2731356                     ,646.6827942                     ,2198.32991                                          ,2166.684421                                         ,1969.17613                                          ,2003.669776                                         ,2048.770758                                         ,1760.819871                                         ,1752.977284                                         ,1616.218121                                         ,992.6705674                                         ,991.1617703                                         ,0.7739239098               ,0.6349931933               ,0.5742533171               ,0.249400637                ,0.4518726335               ,0.3069222889           ,0.3361196731           ,0.3627125955           ,0.6766683064           ,0.4798826183           ,1.080846199             ,0.9711128664            ,0.9369659126            ,0.9260689434            ,0.9317552518            ,0.8912667176                 ,0.6140209071                 ,0.5061578016                 ,0.5748186931                 ,0.5300052186                 ,0.289449112              ,0.3164317177             ,0.331533055              ,0.3377361028             ,0.3447730369             ,1.18071583                ,0.9304526248              ,0.8376908566              ,0.9125547958              ,0.8747782555
Firm 82  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 83  ,-0.141532038                    ,0.0123045                       ,0.01152948687                   ,0                               ,0                               ,0.4416620485                                        ,0.3629748617                                        ,0.3227396996                                        ,0                                                   ,0                                                   ,0.4416620485                                        ,0.3629748617                                        ,0.3227396996                                        ,0                                                   ,0                                                   ,0                          ,0.9840718638               ,1.04813517                 ,0                          ,0                          ,0                      ,24.69879731            ,23.09848323            ,0                      ,0                      ,0                       ,25.68286918             ,24.1466184              ,0                       ,0                       ,0                            ,0.9840718638                 ,1.04813517                   ,0                            ,0                            ,0                        ,24.69879731              ,23.09848323              ,0                        ,0                        ,0                         ,25.68286918               ,24.1466184                ,0                         ,0
Firm 84  ,9.611437388                     ,39.77181745                     ,43.4900035                      ,57.96669144                     ,21.9170476                      ,13.96496388                                         ,40.99237171                                         ,54.66531573                                         ,56.67784259                                         ,65.05886914                                         ,13.11618243                                         ,31.94743503                                         ,41.34134815                                         ,43.37103695                                         ,52.00085955                                         ,0.2721609919               ,0.8679314394               ,0.8051721433               ,0.8611466782               ,0.7159789347               ,0.3184352454           ,0.3055022331           ,0.2246567602           ,0.2283889652           ,0.2363053108           ,0.5905962373            ,1.173433673             ,1.029828904             ,1.089535643             ,0.9522842455            ,0.2695063905                 ,0.9542383829                 ,0.8839274188                 ,1.105874081                  ,0.3900398421                 ,0.270513451              ,0.2584747172             ,0.1856454574             ,0.1046248776             ,0.1213642793             ,0.5400198415              ,1.2127131                 ,1.069572876               ,1.210498959               ,0.5114041213
Firm 85  ,66.26346257                     ,75.34291254                     ,72.14305688                     ,78.17998227                     ,80.00022081                     ,187.9621438                                         ,173.15586                                           ,188.326191                                          ,183.1572619                                         ,193.5175439                                         ,33.77370267                                         ,27.389962                                           ,29.89658836                                         ,25.06837896                                         ,26.70608869                                         ,0.2790594147               ,0.3082607542               ,0.1734869776               ,0.2260212341               ,0.1417626114               ,0.6962631314           ,0.6027724219           ,0.8583063551           ,0.6908193608           ,0.8057973714           ,0.9753225462            ,0.911033176             ,1.031793333             ,0.916840595             ,0.9475599828            ,0.4831064225                 ,0.5927261914                 ,0.4998668912                 ,0.5318253926                 ,0.5270925333                 ,0.2686199158             ,0.2577640189             ,0.2890057579             ,0.3090890121             ,0.2977574192             ,0.7517263383              ,0.8504902103              ,0.7888726491              ,0.8409144046              ,0.8248499526
Firm 86  ,136.1699451                     ,247.9333712                     ,198.7670766                     ,165.9834704                     ,91.76351101                     ,221.761571                                          ,336.8687734                                         ,350.9491885                                         ,317.2734605                                         ,172.5187594                                         ,213.154578                                          ,254.1924905                                         ,276.0772761                                         ,266.2978782                                         ,156.7448429                                         ,0.6076009118               ,0.7061510069               ,0.7073543342               ,0.6016992082               ,0.4682809138               ,0.4542309754           ,0.4951327797           ,0.4823090869           ,0.4646017415           ,0.4431956997           ,1.061831887             ,1.201283787             ,1.189663421             ,1.06630095              ,0.9114766135            ,0.6434129217                 ,0.9831559993                 ,0.7479133566                 ,0.6126362007                 ,0.4227548207                 ,0.3792330515             ,0.3723698595             ,0.3838406525             ,0.3662156308             ,0.3758981082             ,1.022645973               ,1.355525859               ,1.131754009               ,0.9788518315              ,0.7986529289
Firm 87  ,0                               ,32.66727763                     ,47.08144567                     ,36.87767781                     ,70.17713226                     ,0                                                   ,21.4793031                                          ,42.55992052                                         ,48.63898998                                         ,70.75243578                                         ,0                                                   ,18.39106006                                         ,36.06574267                                         ,41.53034717                                         ,45.52593161                                         ,0                          ,0.5556247115               ,0.4849996644               ,0.4361597667               ,0.4080291051               ,0                      ,0.5773870744           ,0.4765941781           ,0.4284542435           ,0.460329019            ,0                       ,1.133011786             ,0.9615938426            ,0.8646140102            ,0.8683581241            ,0                            ,0.9338597963                 ,0.5433407918                 ,0.3854928184                 ,0.6238083035                 ,0                        ,0.4246238444             ,0.3426962265             ,0.3309704844             ,0.3350492531             ,0                         ,1.358483641               ,0.8860370183              ,0.7164633028              ,0.9588575566
Firm 88  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,-0.0005635038861                                    ,-0.0005962083006                                    ,-0.05158819075                                      ,-0.07350648396                                      ,0                                                   ,-0.0005635038861                                    ,-0.0005962083006                                    ,-0.05158819075                                      ,-0.07350648396                                      ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,3.353246304            ,13.94098242            ,6.719458266            ,4.061416713            ,0                       ,3.353246304             ,13.94098242             ,6.719458266             ,4.061416713             ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,3.353246304              ,13.94098242              ,6.719458266              ,4.061416713              ,0                         ,3.353246304               ,13.94098242               ,6.719458266               ,4.061416713
Firm 89  ,0                               ,59.57933929                     ,71.47333466                     ,66.14741135                     ,111.7142308                     ,0                                                   ,43.24049283                                         ,77.69615097                                         ,90.05772019                                         ,138.8447787                                         ,0                                                   ,25.85045496                                         ,64.52320315                                         ,87.9374362                                          ,140.3477412                                         ,0                          ,1.245029185                ,0.8372501323               ,0.6709596861               ,0.8897039876               ,0                      ,0.3918933195           ,0.37070003             ,0.3836306921           ,0.3285902951           ,0                       ,1.636922504             ,1.207950162             ,1.054590378             ,1.218294283             ,0                            ,1.84226805                   ,0.7813898295                 ,0.607713906                  ,0.8104855814                 ,0                        ,0.3617445727             ,0.3367187558             ,0.3319783495             ,0.2932966936             ,0                         ,2.204012622               ,1.118108585               ,0.9396922555              ,1.103782275
Firm 90  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 91  ,0                               ,117.8358307                     ,139.5153344                     ,122.6096326                     ,202.3910154                     ,0                                                   ,576.8796266                                         ,554.4209812                                         ,661.3548693                                         ,673.7188045                                         ,0                                                   ,333.1110471                                         ,38.04057617                                         ,55.32357355                                         ,49.85125355                                         ,0                          ,0.7653173519               ,0.1011455645               ,-0.20964809                ,-0.142972938               ,0                      ,0.2799640104           ,0.9392990925           ,1.165853157            ,1.511407958            ,0                       ,1.045281362             ,1.040444657             ,0.9562050675            ,1.36843502              ,0                            ,0.6507584691                 ,0.938716987                  ,0.7834070388                 ,1.295820635                  ,0                        ,0.1997043655             ,0.1761020012             ,0.1942268535             ,0.2666151297             ,0                         ,0.8504628346              ,1.114818988               ,0.9776338923              ,1.562435765
Firm 92  ,0                               ,4.765190624                     ,16.43270879                     ,7.429903649                     ,6.828655463                     ,0                                                   ,39.17269673                                         ,51.08546984                                         ,49.05037147                                         ,49.07246637                                         ,0                                                   ,37.12027068                                         ,41.11723909                                         ,38.05488838                                         ,39.39689638                                         ,0                          ,0.3406970136               ,0.427007449                ,0.3853815293               ,0.4314674815               ,0                      ,0.4921748516           ,0.9466561871           ,0.7602085557           ,0.6957099793           ,0                       ,0.8328718652            ,1.373663636             ,1.145590085             ,1.127177461             ,0                            ,0.3058484757                 ,1.240660646                  ,0.5360574537                 ,0.4353138964                 ,0                        ,0.4117671162             ,0.5835860129             ,0.6405436243             ,0.5403274223             ,0                         ,0.7176155919              ,1.824246659               ,1.176601078               ,0.9756413187
Firm 93  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 94  ,5.606613573                     ,12.84124406                     ,18.51168013                     ,18.4803595                      ,9.076532738                     ,-5.086536432                                        ,-7.176367733                                        ,-15.88136704                                        ,-20.86779785                                        ,-23.08944252                                        ,-1.001488811                                        ,1.206470423                                         ,3.690148892                                         ,10.0721665                                          ,7.569647948                                         ,0.8446346673               ,0.9229014554               ,0.986685293                ,0.8413585137               ,0.5020583762               ,0.4721618636           ,0.3934884917           ,0.3755579803           ,0.3745739974           ,0.3821564323           ,1.316796531             ,1.316389947             ,1.362243273             ,1.215932511             ,0.8842148084            ,0.716839823                  ,0.8296368791                 ,0.925085524                  ,0.8073831611                 ,0.4197509989                 ,0.3836064483             ,0.3294415486             ,0.2894971875             ,0.2981680562             ,0.3110079984             ,1.100446271               ,1.159078428               ,1.214582712               ,1.105551217               ,0.7307589973
Firm 95  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 96  ,456.7481581                     ,627.1864258                     ,553.2220962                     ,0                               ,0                               ,1631.377773                                         ,1722.536275                                         ,1789.238277                                         ,0                                                   ,0                                                   ,1151.269521                                         ,1129.869588                                         ,1219.019855                                         ,0                                                   ,0                                                   ,0.5717010418               ,0.7865189387               ,0.5943542931               ,0                          ,0                          ,0.4363213462           ,0.368230575            ,0.408804575            ,0                      ,0                      ,1.008022388             ,1.154749514             ,1.003158868             ,0                       ,0                       ,0.499665797                  ,0.7729702836                 ,0.559131756                  ,0                            ,0                            ,0.4209678342             ,0.4140455948             ,0.3563002553             ,0                        ,0                        ,0.9206336313              ,1.187015878               ,0.9154320113              ,0                         ,0
Firm 97  ,30.15206651                     ,87.81535473                     ,139.5513211                     ,85.40097142                     ,45.41556119                     ,25.70885288                                         ,66.82803855                                         ,140.4621504                                         ,130.7937276                                         ,136.0849617                                         ,17.93559669                                         ,56.33326548                                         ,89.0851214                                          ,107.0409751                                         ,125.7704496                                         ,0.5634194537               ,0.7299196687               ,0.8170444275               ,0.6541156068               ,1.51667735                 ,0.4284274208           ,0.3266622768           ,0.1888936369           ,0.3450190115           ,0.8710079786           ,0.9918468745            ,1.056581946             ,1.005938064             ,0.9991346182            ,2.387685329             ,0.6089291883                 ,0.9266086959                 ,1.051359207                  ,0.8188131851                 ,0.5958652669                 ,0.3032534502             ,0.2490245578             ,0.1502860048             ,0.2317343619             ,0.3898645838             ,0.9121826385              ,1.175633254               ,1.201645211               ,1.050547547               ,0.9857298506
Firm 98  ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 99  ,65.97159076                     ,23.36626822                     ,10.34729891                     ,-1.549954326                    ,7.620072735                     ,483.1003517                                         ,437.8583376                                         ,386.7474502                                         ,366.6439322                                         ,345.9006729                                         ,336.7145382                                         ,38.98874479                                         ,21.4391308                                          ,20.54329316                                         ,17.59143414                                         ,0                          ,-37350.6394                ,0                          ,0                          ,0                          ,0                      ,-8766.057442           ,0                      ,0                      ,0                      ,0                       ,-46116.69684            ,0                       ,0                       ,0                       ,0                            ,-25876.26602                 ,111.6779695                  ,1.421301002                  ,1132.422757                  ,0                        ,-8773.158812             ,36.93913078              ,-3.83279391              ,783.6799164              ,0                         ,-34649.42483              ,148.6171002               ,-2.411492908              ,1916.102674
Firm 100 ,70.41552437                     ,275.1812435                     ,196.217163                      ,160.5608072                     ,244.7711299                     ,680.8158523                                         ,762.7619142                                         ,793.9846662                                         ,668.2141049                                         ,670.6692322                                         ,145.0025317                                         ,216.0681908                                         ,215.3689337                                         ,161.2796853                                         ,166.6725631                                         ,0.5300853722               ,0.8707313109               ,0.749453259                ,0.5449934593               ,0.6208938286               ,0.3523605188           ,0.2266194626           ,0.2588412082           ,0.2139790643           ,0.1833588844           ,0.882445891             ,1.097350774             ,1.008294467             ,0.7589725236            ,0.804252713             ,0.3723322939                 ,1.050898533                  ,0.7381636419                 ,0.5135484823                 ,0.6926193896                 ,0.2611330923             ,0.1955369571             ,0.208160623              ,0.1973899945             ,0.1753499356             ,0.6334653862              ,1.24643549                ,0.9463242649              ,0.7109384768              ,0.8679693252
Firm 101 ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 102 ,447.9831428                     ,437.7073302                     ,445.0847229                     ,384.7209741                     ,292.5445023                     ,-14.28968181                                        ,-4.712222985                                        ,-25.68677461                                        ,-21.10195691                                        ,72.28165912                                         ,-14.28968181                                        ,-4.712222985                                        ,-25.68677461                                        ,-21.10195691                                        ,72.28165912                                         ,0.4441205289               ,0.4246934219               ,0.4350060514               ,0.3802170037               ,0.2966096528               ,0.4304305415           ,0.4487398849           ,0.4441360716           ,0.4876060307           ,0.5550611177           ,0.8745510703            ,0.8734333068            ,0.8791421229            ,0.8678230344            ,0.8516707704            ,0.4441205289                 ,0.4246934219                 ,0.4350060514                 ,0.3802170037                 ,0.2966096528                 ,0.4304305415             ,0.4487398849             ,0.4441360716             ,0.4876060307             ,0.5550611177             ,0.8745510703              ,0.8734333068              ,0.8791421229              ,0.8678230344              ,0.8516707704
Firm 103 ,0                               ,0                               ,0                               ,0                               ,0                               ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 104 ,408.9800262                     ,0                               ,0                               ,0                               ,0                               ,1467.514616                                         ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,1296.940621                                         ,0                                                   ,0                                                   ,0                                                   ,0                                                   ,0.5843560418               ,0                          ,0                          ,0                          ,0                          ,0.4075445389           ,0                      ,0                      ,0                      ,0                      ,0.9919005807            ,0                       ,0                       ,0                       ,0                       ,0.5726154072                 ,0                            ,0                            ,0                            ,0                            ,0.4351834418             ,0                        ,0                        ,0                        ,0                        ,1.007798849               ,0                         ,0                         ,0                         ,0
Firm 105 ,2012.671799                     ,2767.075602                     ,2331.877573                     ,2451.651756                     ,2010.370119                     ,5390.372434                                         ,5322.067993                                         ,5263.88648                                          ,4304.490935                                         ,4417.196126                                         ,4444.416507                                         ,3574.423981                                         ,3450.167377                                         ,3303.76497                                          ,3280.396878                                         ,0.5470986421               ,0.6198192455               ,0.5872742053               ,0.6079742965               ,0.5577236419               ,0.3310684426           ,0.3881480156           ,0.4012370451           ,0.3773368683           ,0.4419200025           ,0.8781670846            ,1.007967261             ,0.9885112505            ,0.9853111648            ,0.9996436444            ,0.552628171                  ,0.6676992363                 ,0.6036660786                 ,0.6401529643                 ,0.564634265                  ,0.2591230646             ,0.314803093              ,0.3165322669             ,0.3018842969             ,0.3393646464             ,0.8117512356              ,0.9825023293              ,0.9201983455              ,0.9420372612              ,0.9039989114
Firm 106 ,0.54327207                      ,0.1101455017                    ,0.04672299761                   ,0.005879269935                  ,0.9644835                       ,9.545973075                                         ,9.170969775                                         ,9.02377956                                          ,9.059434215                                         ,6.715124085                                         ,1.144422615                                         ,0.931024725                                         ,0.957810675                                         ,0.84338829                                          ,0.88338738                                          ,0                          ,0                          ,0                          ,0                          ,0                          ,0                      ,0                      ,0                      ,0                      ,0                      ,0                       ,0                       ,0                       ,0                       ,0                       ,0                            ,0                            ,0                            ,0                            ,0                            ,0                        ,0                        ,0                        ,0                        ,0                        ,0                         ,0                         ,0                         ,0                         ,0
Firm 107 ,0                               ,34.66452011                     ,73.81139578                     ,81.78729398                     ,72.71737796                     ,0                                                   ,59.78067649                                         ,109.3581595                                         ,135.7795654                                         ,141.9948236                                         ,0                                                   ,58.31854438                                         ,80.31853386                                         ,94.44531891                                         ,115.7850522                                         ,0                          ,0.5877549092               ,0.9708678314               ,0.6163346992               ,0.7553199398               ,0                      ,0.2355109381           ,0.2467364016           ,0.2720452387           ,0.2467675392           ,0                       ,0.8232658473            ,1.217604233             ,0.8883799379            ,1.002087479             ,0                            ,0.5376762855                 ,0.8529428915                 ,0.675798559                  ,0.5275565253                 ,0                        ,0.2087861772             ,0.2127094819             ,0.2250893651             ,0.204511381              ,0                         ,0.7464624627              ,1.065652373               ,0.9008879241              ,0.7320679063
