,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,NWP (£m) ,SCR (£m),SCR (£m),SCR (£m),SCR (£m),SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),EoF for SCR (£m),SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,SCR coverage ratio,GWP (£m),GWP (£m),GWP (£m),GWP (£m),GWP (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total assets (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Total liabilities (£m),Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity]
,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE
Firm 33,-4.445237979,12.07794399,11.36448456,10.81862824,0.4964521404,455.4592043,438.4916379,398.2673982,467.4545087,2.610525097,801.4392143,733.9625999,633.7687277,622.991096,5.202708385,1.695550329,1.612880513,1.533365293,1.284198229,1.920397763,0.7203229794,19.34645841,17.21994924,14.87020518,0.6568512388,6805.505352,6546.102206,6136.788624,6127.107864,74.34446043,6004.066138,5812.139607,5503.019896,5504.116768,69.14175204,801.4392143,733.9625999,633.7687277,622.991096,5.202708385
Firm 34,6817.399238,5780.78114,4497.979967,-181.6121358,8145.61732,7269.521977,7076.519747,6783.113294,6328.08622,6443.117305,11206.21227,10971.09452,10879.22382,10307.99849,9526.51525,1.485397097,1.493894106,1.545462319,1.569609211,1.424713727,8772.495138,12550.06078,17214.59003,20729.16531,20510.75055,123131.6638,133659.7619,137198.1655,177652.7914,185108.3286,111925.4516,122688.6674,126318.9417,167344.7929,175581.8134,11206.21227,10971.09452,10879.22382,10307.99849,9526.515251
Firm 35,197.4137797,332.8323082,327.97326,308.8307319,877.3158024,70.97101065,188.1159072,145.5995655,151.7059255,149.5352144,99.31605317,265.2747806,237.592894,257.1825333,259.0922483,1.348428871,1.358814032,1.572399687,1.633535233,1.669554198,202.2681058,333.509873,328.6631577,309.4448985,877.6717944,1867.932069,4097.860578,3915.138157,4433.399096,5039.975691,1718.661604,3784.472661,3617.243526,4110.499687,4731.342719,149.2704652,313.3879164,297.8946302,322.8994096,308.6329723
Firm 36,0.001552333824,0.00080941056,0.000389287936,0,0,4.205043842,3.185218991,2.710836753,3.250962657,2.610883645,21.18839311,21.94749881,24.33894663,23.38924463,23.05807316,4.85531123,6.639499121,8.651431896,6.932562528,8.509912117,0.003039143936,0.001323964416,0.000389287936,0,0,29.30911676,28.0589754,27.97041336,27.62144959,27.15842866,8.120723644,6.111476596,3.631466729,4.232204965,4.10035551,21.18839311,21.94749881,24.33894663,23.38924463,23.05807315
Firm 37,0,0,0,0.1611411159,1.263742437,0.490500033,0.4816803859,0.2444405655,1.543189252,2.351731341,3.214939237,3.153888482,3.594383199,4.290508274,4.837886247,6.315726405,6.309238591,14.16904814,2.679039605,1.982245888,0,0,0,1.424056704,8.497193022,3.266517962,3.207849186,3.606639988,6.765771593,13.23077494,0.05157872435,0.053960704,0.01225678848,2.475263319,8.392888695,3.214939237,3.153888482,3.594383199,4.290508274,4.837886247
Firm 38,3527.89263,3792.970854,3649.128537,0,0,3238.080882,2431.659393,2431.659393,0,0,3510.28795,3542.133505,3145.330458,0,0,1.044587034,1.403627161,1.246387596,0,0,4720.385308,5103.617039,5197.801119,0,0,12454.47775,13243.4885,14161.92432,0,0,9461.779606,10331.3796,11305.66906,0,0,2992.698144,2912.108895,2856.255258,0,0
Firm 39,10.21882601,10.3798473,10.54535441,10.46635787,10.24137064,21.01230685,24.1009958,18.53244424,21.96398518,22.72872785,57.10345539,60.45965774,57.14611517,65.28755943,67.88667778,2.618654694,2.417242812,2.971280072,2.864236483,2.878054458,10.21882601,10.3798473,10.54535441,10.46635787,10.24137064,62.32861815,65.09288504,60.89557519,67.67416069,70.04233186,5.225162756,4.633227299,3.749460024,2.386601266,2.155654083,57.10345539,60.45965774,57.14611517,65.28755943,67.88667778
Firm 40,1272.368235,1230.025258,1077.289613,228.5288653,471.0140083,535.0269634,398.5047437,374.6069299,350.1095027,361.0375983,487.1202372,520.7589139,590.5527542,577.658265,568.9705549,0.8773039468,1.259194439,1.51905141,1.58985191,1.518542461,1358.023151,1306.187066,1183.626564,1162.646366,1184.460757,2901.881792,2923.955576,2801.87213,2962.098474,2858.710359,2546.560928,2537.002675,2345.249173,2498.820119,2373.428946,355.3208647,386.9529009,456.6229568,463.2783548,485.2814137
Firm 41,6.199477832,6.206482442,6.37667879,6.401514744,6.205218374,1.935659895,1.866380611,1.889303814,1.997363697,1.990100268,5.896785366,5.581563962,5.297307289,5.247981191,6.209776944,2.935457848,2.881676812,2.70173622,2.531772614,3.006703633,6.199477832,6.206482442,6.37667879,6.401514744,6.205218374,6.79786861,6.518298936,6.232644413,6.394598242,7.215380806,0.9010832433,0.9367349737,0.9353371246,1.146617051,1.005603862,5.896785366,5.581563962,5.297307289,5.247981191,6.209776944
Firm 42,0,45.19214986,54.52342742,64.24702111,60.59326265,43.39640293,49.19293711,61.64976732,68.34406172,61.28667112,94.02706505,104.3622186,97.58245586,101.9624589,100.4530312,2.087799203,2.044231752,1.525210836,1.437570311,1.579379853,0,236.0882852,203.5683479,226.767936,231.4748572,602.2460236,652.2828825,592.9754883,651.8121672,662.0608859,529.91716,572.5171325,526.2179161,584.0217392,592.2511902,72.32886358,79.76575004,66.7575722,67.79042809,69.80969563
